Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks,URL
AK-EC-01,,State-people,Elderly Care,Yes,Demarcated,Clean,Mixed,20,Present,None,1.3741426,103.8536676,"Senior citizen corner
State-people
Demarcated by signage and Low Walls
1 eight seater table
2 four seater tables (one Chinese chess table) 
Store room present 
One shuttered space only for members (exclusive policy)
Multiple foldable tables and stacks of plastic chairs 
Small garden found outside.
Radio and TV present 
Camera present ","https://www.google.com/maps/search/1.3741426,103.8536676"
AK-EC-02,,State-provided,Elderly Care,No,Demarcated,Clean,Mixed,24,Present,Present,1.366584,103.8538677,"Senior citizen corner
Also has a study corner and community garden adjacent to it
Demarcated by Low Walls and signages 
State-provided
1 large 8 seater table 
1 four seater table in SCC
3 four seater tables in study corner
Wall benches all around
Toilet present
Community garden currently locked and under maintenance
Large metal cabinet that stores items on top and inside
Could have a TV, but cannot he seen
A shuttered area, could be a pantry 
No cameras
Chinese decorations hanging ","https://www.google.com/maps/search/1.366584,103.8538677"
AK-EC-03,,State-people,Elderly Care,No,Demarcated,Clean,Fixed,11,Present,Present,1.3671491,103.8569871,"Senior citizen corner
State-people
Demarcated by signage and Low Walls
Comes with a community garden that is unlocked but fenced
Toilet present 
One eight seater table
1 chess table, 3 seater
Wall benches
Locked cabinets, could have TVs inside
Chinese decorations present in some areas
Store room present
No camera","https://www.google.com/maps/search/1.3671491,103.8569871"
AK-G-01,,State-people,Garden,No,Demarcated,Clean,Mobile,4,Present,None,1.3743136,103.8534942,"Community garden 
State-people
Demarcated by signage and fence
Has a fridge 
Sitting area under sgelter
Also fish tank 
Locked
Seems exclusive to the nearby senior citizen corner
No cameras","https://www.google.com/maps/search/1.3743136,103.8534942"
AK-G-02,,State-people,Garden,No,Demarcated,Clean,Mobile,4,None,None,1.3758919,103.8501341,"Community garden
State-people
Demarcated by signage and fencing
Relatively organized
Has shelters with seating
Also is locked and has barb wire on the fence","https://www.google.com/maps/search/1.3758919,103.8501341"
AK-G-03,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3699569,103.8561828,"Community garden 
State-people
Demarcated by single and fence
Locked
No cameras
No seating","https://www.google.com/maps/search/1.3699569,103.8561828"
AK-G-04,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3680417,103.8521773,"Community garden
State-people
Demarcated by signage and fencing
Relatively organized
Locked 
No cameras","https://www.google.com/maps/search/1.3680417,103.8521773"
AK-G-05,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3618133,103.8539479,"Community garden
State-people
Extended from the adjacent side
Locked
Demarcated by fence and signage","https://www.google.com/maps/search/1.3618133,103.8539479"
AK-G-06,,State-people,Garden,No,Demarcated,Clean,Mobile,4,Present,Present,1.3618392,103.8538513,"Community garden
State-people
Demarcated by signage and fence
Normally locked
Relatively organized
No cameras
Seats found in tool shed
Has decorations and an aquarium inside","https://www.google.com/maps/search/1.3618392,103.8538513"
AK-G-07,,State-people,Garden,No,Demarcated,Clean,Mobile,4,None,None,1.3656659,103.8535925,"Community garden
State-people
Demarcated by fence
Relatively organzied 
Locked
Seating in tool shed
No cameras ","https://www.google.com/maps/search/1.3656659,103.8535925"
AK-G-08,,People-generated,Garden,Yes,Not demarcated,Clean,None,0,None,None,1.3668018,103.8567615,"Garden 
People-generated
Non demarcated
One section is fenced up and locked (bonsai plants)
Build along the walkways 
First floor residents
Relative organized
No seating
Camera present (police) ","https://www.google.com/maps/search/1.3668018,103.8567615"
AK-G-09,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3665159,103.8568363,"Garden
People-generated
Along the walkway 
No demarcation 
No seating or cameras
Relatively organized","https://www.google.com/maps/search/1.3665159,103.8568363"
AK-G-10,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3652238,103.8561741,"Garden
First floor unit
People generated
No demarcation
No seating
No cameras
Relatively disorganized ","https://www.google.com/maps/search/1.3652238,103.8561741"
AK-G-11,,State-people,Garden,No,Demarcated,Clean,Mobile,4,None,None,1.3643178,103.8570974,"Community Garden
State-people
Demarcated by fence and signage
Locked
Organzied
Sitting under work shelter
No cameras ","https://www.google.com/maps/search/1.3643178,103.8570974"
AK-RC-01,,State-provided,Resident's Corner,Yes,Demarcated,Clean,Fixed,37,None,None,1.3725579,103.8487578,"Resident lounge
State-provided
Demarcated by Low Walls
4 four seater tables (one Chinese chess table)
2 six seater tables 
One coffee table
3 three seater benches around coffee table
Camera present ","https://www.google.com/maps/search/1.3725579,103.8487578"
AK-RC-02,,State-people,Resident's Corner,No,Demarcated,Clean,Mixed,30,None,Present,1.3718731,103.8562224,"Residents corner
State-people
Demarcated by Low Walls
3 four seater tables
3 two seater metal benches
Multiple foldable tables
Stacks of plastic chairs
Storage area with gala poles
Cabinets(locked)
Toilet present
Washing sink present 
Unsure if TV is present
Very clean
Shuttered storage
Some Chinese ornaments are present 
No visible camera ","https://www.google.com/maps/search/1.3718731,103.8562224"
AK-RC-03,,State-provided,Resident's Corner,No,Demarcated,Clean,Fixed,21,None,None,1.370154,103.8520566,"Resident lounge
State provided
Demarcated by Low Walls
1 four seater chess table
6 two seater benches
5 single seat bench
No cameras
","https://www.google.com/maps/search/1.370154,103.8520566"
AK-RC-04,,State-provided,Resident's Corner,No,Demarcated,Clean,Fixed,24,None,None,1.3615529,103.8540146,"Residents lounge
State-provided
Demarcated by signage
4 four seater tables
4 metal benches 
No cameras ","https://www.google.com/maps/search/1.3615529,103.8540146"
AK-RC-05,,State-people,Resident's Corner,Yes,Demarcated,Clean,Fixed,23,Present,Present,1.3648715,103.8544156,"Residents corner
State-people
Demarcated by Low Walls
2 seven seater tables 
3 seater tables, one Chinese chess, one English chess
4 fish tanks with running water and fishes
Cctv present towards the fishes (likely people stole fish before)
Face mask vending machine present 
Chinese decorations also present
Exercise equipment also present
Paintings also present","https://www.google.com/maps/search/1.3648715,103.8544156"
AK-SC-01,,State-provided,Study Corner,No,Demarcated,Clean,Fixed,18,None,None,1.3707419,103.8527684,"Study corner
State-provided
Demarcated by Low Walls
6 two seater tables
1 6 six seater table
No cameras","https://www.google.com/maps/search/1.3707419,103.8527684"
AK-V-01,,People-generated,Void Deck,No,Not demarcated,Clean,MIxed,24,None,None,1.3613072,103.854614,"Void deck 
People generated
No demarcation
Table top 
1 six seater table 
4 three seater benches
Multiple plastic chairs stacked
Wooden table folded
No cameras","https://www.google.com/maps/search/1.3613072,103.854614"
AK-V-02,,People-generated,Void Deck,Yes,Not demarcated,Clean,Mixed,12,None,None,1.3655838,103.8563679,"Void deck
People-generated
No demarcation 
1 six seater table (state-provided)
2 metal benches (state-provides)
2 wooden and plastic chairs
Drawer cabinet filled with items
Water bottles placed in TOP of cabinet
Camera present 
More stackable chairs found in the adjacent void deck space with a sign that states the authorities allowing a certain amount of tables to be used o oh","https://www.google.com/maps/search/1.3655838,103.8563679"
AK-V-03,,State-people,Void Deck,No,Demarcated,Clean,Mixed,16,None,None,1.3634655,103.8565184,"Void deck sitting area
State-people
No photo
2 tables five seater (probably space for wheelchair)
2 metal benches
2 additional chairs provided by residents
 No cameras
","https://www.google.com/maps/search/1.3634655,103.8565184"
AK-V-04,,State-people,Void Deck,No,Demarcated,Clean,Mixed,16,None,None,1.3627224,103.8566713,"Void deck sitting area
State-people
No demarcation 
2 five seater tables (though it could fit 6, possibly for wheelchair)
2 metal benches
Two additional wooden chairs, chained to the chairs
No cameras","https://www.google.com/maps/search/1.3627224,103.8566713"
