Title,Note,URL,Comment
Dropped pin,"Community garden
State-people
Demarcated by signages and fences
Relatively disorganized 
No cameras
No seats ","https://www.google.com/maps/search/1.3221517,103.9355078",
Dropped pin,"Residents corner
State-people
No picture because people are within
Demarcated by Low Walls
Decoration on the wall
Clocks 
3 four seater tables
7 singles seats
3 added seats  leaning against the wall
Cameras present
Near hawker centre","https://www.google.com/maps/search/1.3207687,103.9350495",
Dropped pin,"Community garden
State-people
Demarcated by fence and signages
Locked
Cameras in operation
Organized
Can’t see any seating inside","https://www.google.com/maps/search/1.3195982,103.9331806",
Dropped pin,"Outdoor
People generated space
Has cabinets tables and chairs placed outside
No photo currently
No demarcation 
No cameras 
Near a Coffeeshop ","https://www.google.com/maps/search/1.3228629,103.9336202",
Dropped pin,"Outdoor
People generated space
Simple
2 chairs added
A cooler box that is chain locked to a state provided bench
5 provided benches sheltered
2 benches outside
One tabl
No demarcation
No cameras 
","https://www.google.com/maps/search/1.3227748,103.932947",
Dropped pin,"Garden
State-people
Demarcated by nature
Relatively organized
Has a makeshift shelter with tools, tables and a mini pantry
Can’t be seen from the outside properly
Large garden ","https://www.google.com/maps/search/1.3238715,103.9270531",
Dropped pin,"Outdoor
Small garden plus equipment area
Chairs stacked
No demarcation 
Multiple pots and buckets, watering cans
Relatively organised
Makeshift rack using the tree branch
The tree may be a fruit tree as seen by the equipment present
Storage cabinets are present too
No cameras","https://www.google.com/maps/search/1.3251828,103.9264959",
Dropped pin,"Outdoor
People generated under a treee
No demarcation 
3 foldable tables 
1 chess table 
Plastic chairs stacked up
A person was sitting in the space
No cameras
Near the Singapore pools","https://www.google.com/maps/search/1.3255397,103.9256517",
Dropped pin,"Residents corner
State-provided
Tv in cabinet
Demarcated by Low Walls and signages 
1 four seater table
4 two seater benches in front of tv 
5 two seater benches around the space 
No toilet
No camera","https://www.google.com/maps/search/1.3269133,103.9225004",
Dropped pin,"Garden
People generated
First flow household
Demarcated by small fence
Relatively organized
1 four seater stone table 
Decorations and ornaments present
No camera","https://www.google.com/maps/search/1.3264538,103.9228669",
Dropped pin,"Garden
People generated
Demarcated (self) 
Small plot 
Relatively organized 
No seating or camera","https://www.google.com/maps/search/1.3261263,103.9228625",
Dropped pin,"Garden
People generated
Relatively disorganized
No demarcation
No camera
No seating","https://www.google.com/maps/search/1.3258257,103.9226389",
Dropped pin,"Interaction corner
State provided
Low walls
No camera
Wall mural 
2 four seater tables
1 three seater tables
1 two seater table
3 Wal seats","https://www.google.com/maps/search/1.3250051,103.9210778",
Dropped pin,"Garden
People generated
No demarcation
Relatively organized
Pathway set up by floor tiles
No cameras
No seats
First floor residents","https://www.google.com/maps/search/1.3244531,103.9210524",
Dropped pin,"Garden
People generated
No demarcation
Lines the pathway through with pots 
Organized
Bird cages present
No cameras","https://www.google.com/maps/search/1.3257392,103.9204086",
Dropped pin,"Garden
People generated
First floor homes
No demarcation 
Quite organized
Pathway created by resident through concrete tiles","https://www.google.com/maps/search/1.325949,103.9202028",
Dropped pin,"Residents Lounge
No picture
Demarcated by Low Walls and signages
Same as the other lounges/corners
No cameta","https://www.google.com/maps/search/1.3285149,103.9200301",
Dropped pin,"Residents lounge/corner
Demarcated by signage and Low Walls 
2 four seater tables
Wall benches on boundary wall 
No camera","https://www.google.com/maps/search/1.3287428,103.9210195",
Dropped pin,"Residents lounge/corner
Demarcated by Low Walls and signages 
Quite dirty
Two four seater tables
Wall seats along boundary walls
No camera","https://www.google.com/maps/search/1.3295127,103.9215717",
Dropped pin,"Residents corner
Demarcated by Low Walls and rails 
Toilet present
No TV
Mostly wall seats
No tables
Additional fans provided","https://www.google.com/maps/search/1.3297222,103.9219385",
Dropped pin,"Interaction Corner
State provided
Demarcated by Low Walls and rails 
4 four seater tables
2 threes seater chess tables
Wall benches 
8 seats in front of TV cabinet
Toilet provided
No camera","https://www.google.com/maps/search/1.3289114,103.924903",
