Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks,URL
HG-G-72,,People-generated,Garden,No,Not demarcated,Clean,Mobile,5,None,None,1.3713144,103.884861,"Outdoor area garden
People generated
Along a shelter
No demarcation
Relatively disorganized
Has two benches and a chair, movable
No camera
Clean 
Near first floor households ","https://www.google.com/maps/search/1.3713144,103.884861"
HG-G-73,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3742301,103.8842947,"Community garden
State-people
Demarcated by fence
No seating 
Relatively organized
No cameras","https://www.google.com/maps/search/1.3742301,103.8842947"
HG-G-74,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3732608,103.8824949,"Community garden
State-people
Demarcated by fencing
Locked
Relatively organized
No cameras 
No seating ","https://www.google.com/maps/search/1.3732608,103.8824949"
HG-G-75,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3737662,103.8804551,"Garden 
People generated
First floor resident
Relatively organised
No demarcation 
No camera
No seating ","https://www.google.com/maps/search/1.3737662,103.8804551"
HG-G-76,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3734485,103.8801463,"Community garden 
State-people
Demarcated by fence
Locked relatively organized 
No seating
No camera","https://www.google.com/maps/search/1.3734485,103.8801463"
HG-G-77,,People-generated,Garden,No,Demarcated,Clean,None,0,None,None,1.373431,103.8803586,"Garden
People generated
First floor residences
Has demarcation in the form of a small fence 
Not locked
Relatively organised
No cameras 
No seating","https://www.google.com/maps/search/1.373431,103.8803586"
HG-G-78,,State-provided,Garden,No,Demarcated,Clean,None,0,None,None,1.3715644,103.8799291,"Community garden
State-provided
Sparkle tots created
For kids, demarcated by a short fence
Locked
No seating ","https://www.google.com/maps/search/1.3715644,103.8799291"
HG-G-79,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3713258,103.8807049,"Community garden 
State-people
Demarcated by fencing 
No cameras
Locked
Relatively organised
No seating","https://www.google.com/maps/search/1.3713258,103.8807049"
HG-RC-25,,State-provided,Resident's Corner,Yes,Demarcated,Clean,Fixed,24,Present,None,1.3716898,103.8839272,"Residents corner 
State provided
Demarcated by Low Walls 
2 four seater chess tables 
1 six seater table
1 two seater table
8 chairs
TV shuttered
Fans provided 
Cameras present ","https://www.google.com/maps/search/1.3716898,103.8839272"
HG-RC-26,,State-provided,Resident's Corner,No,Demarcated,Semi-clean,Mixed,17,Present,None,1.3736737,103.8844945,"Residents corner
State provided
2 round tables with benches (seats 8)
5 metal seats
TV provided
Demarcated by Low Walls 
A mahjong table and stacked chairs can be found in the corner
May have a urination problem (according to notice)
Vending machine present
No cameras
Relatively wmpty","https://www.google.com/maps/search/1.3736737,103.8844945"
HG-RC-27,,State-people,Resident's Corner,No,Semi-demarcated,Clean,Mixed,30,Present,Present,1.3738661,103.8800347,"Residents corner
State-people
Semi-demarcated by a sign
4 fixed metal benches
1 six seater table (has a tablecloth donned) 
1 three seater chess table 
A locked pantry with sink, doubling up at a store (could be items packed during CB)
Stacked plastic chairs and foldable tables
Tvs provided at ceiling 
No toilet 
Locked cabinets 
Household items such as kitchen appliances locked, 
Cups and utensils present
Kopi packets and other small food items found in boxes
Fans provided
No camera ","https://www.google.com/maps/search/1.3738661,103.8800347"
HG-RC-28,,State-people,Resident's Corner,Yes,Demarcated,Clean,Mixed,35,Present,Present,1.3723353,103.8819045,"Residents corner
State-people
Demarcated by Low Walls and signages
Cameras present 
2 six seater tables with backrest
2 six seater tables with stools
4 foldable wooden tables
7 wooden tables 
Toilets present
TV locked 
Metal benches without back rest provided
Mobile chairs kept
Ornaments (Chinese) present
Decorations present
Fans and lighting provided 
Vending machine present
Camera present 
","https://www.google.com/maps/search/1.3723353,103.8819045"
HG-RC-29,,State-provided,Resident's Corner,Partial,Semi-demarcated,Semi-clean,Mixed,24,Present,Present,1.3720612,103.8802194,"Residents corner? 
State provided
But a section away has ornaments and mobile seating 
3-4 plastic benches and tables
Seem to be placed beyond camera visibility (phase 1)
Has toilet
Semi-demarcated
Tv in shutter
Pantry behind locked grills 
4 four seater tables
Vending machine present 
No photo currently ","https://www.google.com/maps/search/1.3720612,103.8802194"
HG-SC-03,,State-provided,Study Corner,No,Demarcated,Clean,Fixed,20,None,None,1.3736342,103.8802449,"Study corner
State provided
No photo
Homogeneous space
No camera
Demarcated by Low walls","https://www.google.com/maps/search/1.3736342,103.8802449"
HG-SC-04,,State-provided,Study Corner,Yes,Demarcated,Not clean,Fixed,30,None,None,1.3721067,103.881524,"Study corner
State provided
Demarcated 
Camera present
1 three seater table (used to be four seats)
I six seater table 
18 single seats with tables 
3 three seater benches
Fans provided
Vending machine present
Dirty ","https://www.google.com/maps/search/1.3721067,103.881524"
HG-V-26,,State-provided,Void Deck,No,Demarcated,Clean,Fixed,16,None,None,1.3732346,103.883019,"Elder fitness corner
State-provided
Demarcated by Low wall 
4 four seater tables at each corner of space
Fans and lights provided 
No cameras","https://www.google.com/maps/search/1.3732346,103.883019"
HG-V-27,,State-provided,Void Deck,No,Demarcated,Clean,Fixed,16,None,None,1.3720226,103.8818425,"Elderly fitness centre
State provided
Demarcated by Low Walls
Fans provided
4 four seater tables placed at corners of the space
No cameras","https://www.google.com/maps/search/1.3720226,103.8818425"
