Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks
HG-EC-1,,State-provided,Elderly Care,Yes,Demarcated,Clean,Fixed,20,Possible,None,1.3553323,103.8912604,"Elderly care centre
State-provided
Fitness section included. 
No tables ( could have been moved out due to covid) 
10 wooden benches
Locked cabinets (unclear what they store)"
HG-EC-2,,State-people,Elderly Care,No,Semi-demarcated,Clean,Mixed,11,None,None,1.3641646,103.8931001,"State provided space
No tables, 5 metal benches
Exercise corner built within
Near elderly care centre
1 plastic stool
Some boxes present 
No surveillance"
HG-G-14,,People-generated,Garden,No,Demarcated,Clean,Mobile,3,None,Present,1.3561635,103.8904396,"Large community garden
Likelihood is people-generated due to heterogeneity
Though possible state tolerated as it is large. 
Demarcated by concrete kerbs, bricks and Low fences
Plastic stools found inside
Religious ornaments found in one
Aviary present as well
Advanced community garden"
HG-G-15,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,2,None,Present,1.3568168,103.8917583,"Garden (large)
People-generated
Layout is row wise
Mature plants 
Concrete tiles placed for walkability through
Disorganized 
Relatively clean
No surveillance"
HG-G-16,,People-generated,Garden,Yes,Not demarcated,Clean,Mobile,3,None,None,1.3570745,103.8917476,"Garden
People-generated
Disorganized
Clean
One cctv on the inner garden
Most like managed by residents"
HG-G-17,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3571798,103.8920714,"Mini garden
People-generated
Disorganized but clean
No surveillance
Most likely managed by residents nearby"
HG-G-18,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,2,None,None,1.3604079,103.8912953,"Gardens
People generated
Demarcated with mini fences, some not
Relatively well maintained, although disorganized. 
Should be tended by residents "
HG-G-19,,People-generated,Garden,Semi,Not demarcated,Semi-clean,None,0,None,None,1.3605035,103.8917271,"Mini garden
People generated
Relatively young (with supports)
Disorganized 
Cctv only sees a portion"
HG-G-20,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3662039,103.8956696,"Larger garden, more organised with a mini demarcation.
 Has a mesh for young plants
Beside lift landing"
HG-G-21,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3661891,103.8958386,"Larger than the gardens on the same stretch
Beside a pathway that was built, also beside the lift landing.
A little overgrown, but still clean"
