Title,Note,latitude,longitude
Dropped pin,,1.3539101,103.8903863
Dropped pin,"3 different types of spaces, Govt develop and community developed as well. ",1.3508536,103.8862108
Dropped pin,Newer vicinity,1.351597,103.8894938
Dropped pin,"Organically grown space, with personalised chairs and racks",1.3493208,103.8889604
Dropped pin,"Newer Blocks, seating near bicycle racks and mailbox",1.3497354,103.8889071
Block 171,Community garden at 169 (informal and formal),1.3510974,103.8882148
Dropped pin,"Rest shelter, with plastic chairs with backrest provided",1.3522181,103.8882781
Dropped pin,Large open space with only one table and 4 stone stools,1.3504403,103.8878624
Dropped pin,Large open space with seating (elevated),1.3504678,103.8870044
Dropped pin,HDB developed study corner and space,1.3497552,103.8870731
Dropped pin,"Large open garden, with bird cages as well. Non-demarcated",1.3496432,103.886702
Carriage Merchant Trades Pte. Ltd.,Void deck with Cabinet and Fridge,1.349643,103.886702
Dropped pin,Provision shop with a community garden (small),1.3517559,103.8879485
Dropped pin,Playground seats as well as large community area,1.3531569,103.8881158
Dropped pin,Sitting area with some small furniture lying about,1.3536795,103.8886617
Dropped pin,"Wellness centre, has seating and exercise machines ",1.354325,103.8883489
Dropped pin,Locked community garden,1.3523176,103.8856794
Dropped pin,Study Corner,1.3515889,103.8838002
Hougang,"Large outdoor amphitheater, with some extra seats from plastics chairs",1.3519519,103.8844979
Dropped pin,Resident’s corner,1.3524688,103.8841576
Dropped pin,Seating as waiting area outside PY zone 6 office,1.3517974,103.8827638
Dropped pin,Large Community Garden,1.3524222,103.8866768
