Location ID,Group,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks,URL
AK-G-08,Simple,People-generated,Garden,Yes,Not demarcated,Clean,None,0,None,None,1.3668018,103.8567615,"Outdoor garden that is built outside a first-floor resident's house. It is most likely set up the nearest residents, due to how the layout reflects its proximity to the entrance to the resident's main door. Demarcated only by the planting layout, although one section is fenced up and locked due to the value of bonsai plants. There is however, no seating provided within the space. Surveillance is also provided by the police, which probably indicates some history of theft and allowance by civic services for such a space.
","https://www.google.com/maps/search/1.3668018,103.8567615"
AK-G-09,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3665159,103.8568363,"Garden
People-generated
Along the walkway 
No demarcation 
No seating or cameras
Relatively organized","https://www.google.com/maps/search/1.3665159,103.8568363"
AK-G-10,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3652238,103.8561741,"Garden
First floor unit
People generated
No demarcation
No seating
No cameras
Relatively disorganized ","https://www.google.com/maps/search/1.3652238,103.8561741"
AK-G-17,,People-generated,Garden,No,Not demarcated,Clean,Mobile,10,None,Present,1.3716197,103.8359898,"Garden
People-generated
No demarcation 
No fencing
Organzied very well
Multiple furniture, roller chairs, wooden stools and plastic chairs in the space, near the shelter
No cameras
Hanging clothes as well","https://www.google.com/maps/search/1.3716197,103.8359898"
AK-G-21,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3748767,103.8553111,"Garden
People generated
Besides playground
No demarcation or fencing
Has labels indicating which plant is which 
No seating or cameras
Relatively organized ","https://www.google.com/maps/search/1.3748767,103.8553111"
AK-G-23,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3743313,103.8581143,"Garden
People generated
Built alongside vacated perimeter fence
No demarcation 
No cameras
No seating","https://www.google.com/maps/search/1.3743313,103.8581143"
AK-G-29,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,Present,1.3757441,103.8394354,"Garden
People generated 
No demarcation
Potted plants with different decorations
No seating 
No cameras","https://www.google.com/maps/search/1.3757441,103.8394354"
AK-G-37,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3793828,103.8375361,"Garden
Illegal
People generated
No demarcation 
No cameras
Has a notice for removal ","https://www.google.com/maps/search/1.3793828,103.8375361"
AK-O-01,Simple,People-generated,Outdoor,No,Not demarcated,Semi-clean,Mobile,5,None,None,1.3673479,103.8369259,"An outdoor space found just behind a coffeeshop. Non-sheltered, users have set up chairs, placed behind the pots and plants. Clearly people-generated, there is no demarcation of the space. Looking at the proximity to the coffeeshop, it is more than likely setup by the staff of the coffeeshop rather than a larger community initiative. All the furniture are heterogeneous, and there is a possibility it is also used as a smoking corner, with visibility being minimal. There are no cameras by the state of the users in the space.
","https://www.google.com/maps/search/1.3673479,103.8369259"
AK-O-02,Simple,People-generated,Outdoor,No,Not demarcated,Clean,Mixed,10,None,None,1.3646332,103.8497958,"An outdoor space found adjacent to a coffeeshop and an outdoor carpark that is dominated by large vehicles. Multiple wooden benches are stacked haphazardly in the corner, an indication of times when these could be laid out for more informal gatherings, adding on to the existing chairs at the perimeter of the space. As they were not laid out, it is unsure how the layout is however, it could be a gathering space for truck or bus drivers to have a smoke before or after work. There are no cameras in this vicinity. ","https://www.google.com/maps/search/1.3646332,103.8497958"
AK-O-03,Simple,People-generated,Outdoor,No,Demarcated,Clean,Mixed,6,None,None,1.3793228,103.8395239,"While it is under a state-provided shelter, it is considered to be an outdoor space. Additional chairs have been provided in this space, which is at the junction of a sheltered walkway and the path to the bus stop and pedestrian crossing. Also, a dustbin has been provided there. Whilst most likely not for smoking, due to the nature of it being plastic, it gives the impression of a place of 'stay'. Two of the users of the space had gone to see a small community garden just a few metres away, with another fellow member tending to the garden. This could be a regular activity for them, since the seats do provide a vantage view of the garden and the crossings for people-watching. No cameras on site.","https://www.google.com/maps/search/1.3793228,103.8395239"
AK-V-01,Simple,People-generated,Void Deck,No,Not demarcated,Clean,Mixed,24,None,None,1.3613072,103.854614,"This void deck space is easily missable, due to the placement of pillars throughout the space and an awkward presence of state-provided benches that accompany each pillar. Stacked plastic chairs can be seen chained to one of these benches, where an elderly man sits. A folded table top is found in the corner of one of the pillars. Personal items can be seen on another stack of plastic chairs, where another resident uses at a nearby washing point. The layout is uncertain, since the chairs remained stacked, but the location is overlooking a nearby carpark, while also near the town centre. It seemed to have a decent traffic of non-users, as it is near a mailbox and a lift landing. There are no cameras overlooking the space.","https://www.google.com/maps/search/1.3613072,103.854614"
AK-V-02,Simple,People-generated,Void Deck,Yes,Not demarcated,Clean,Mixed,12,None,None,1.3655838,103.8563679,"A void deck seating area that is situated near the sheltered walkway  between HDB blocks and the nearby bus stop. While there is state provision of the fixed red furniture and metal benches, additional seats can be found filling the gap along a wall. Also, a small drawer cabinet hosting plastic items can be seen here, with water bottles found nearby. While it is the purpose of the bottles is unclear, these items are not locked or secured. Yet, it seems to be relatively safe. A camera provided by the state is present but it seems unlikely to be provided as security for these items, rather since this space serves as an entrance to the sheltered paths. Interestingly, the adjacent void deck space has folded tables as well as a signage on a limit on the quantity of tables to be used. This could be indicative of state-support of this space.
","https://www.google.com/maps/search/1.3655838,103.8563679"
